staff_id,name,email,phone,address,dob,gender,staff_designation
CSE001,Gaurav Ghose,oliver43@gmail.com,9336002985,"H.No. 00
Yadav Path, Bidhannagar 302562",1994-09-22,Male,Professor
CSE002,Damyanti Bedi,bhavanitiwari@gmail.com,8828295985,"76/02, Minhas Road, Bidhannagar-919351",1999-03-06,Male,Lecturer
CSE003,Qasim Ravi,nkumar@gmail.com,9929759966,"663, Shukla Nagar
Baranagar 120831",1983-03-11,Female,Assistant Professor
CSE004,Alexander Pathak,siddharth03@gmail.com,9878360021,"20/80
Chaudhari Chowk
Mangalore-646227",1995-07-03,Male,Assistant Professor
CSE005,Girish Dhawan,reyansh48@gmail.com,9597980975,"H.No. 78
Devi Road, Rourkela 758014",1991-08-02,Male,Professor
CSE006,Leena Shankar,pushtioak@gmail.com,8356591908,"H.No. 00, Soni Path, Kadapa-941382",1978-09-14,Female,Assistant Professor
CSE007,Yochana Nagarajan,rehaandar@gmail.com,7394098684,"077, Wagle, Thrissur 956504",1976-07-07,Male,Assistant Professor
CSE008,Daniel Om,grewalkrish@gmail.com,8485369995,"46/46, Ganesh Nagar
Surendranagar Dudhrej-557557",1993-06-14,Female,Assistant Professor
CSE009,Gaurangi Gola,urishillabatta@gmail.com,8555570539,"21/59
Bhasin Nagar, Morena 917745",1977-12-27,Male,Professor
CSE010,Kala Varghese,hdhar@gmail.com,8246312498,"257, Palan Road
Anand 088193",1997-05-17,Male,Assistant Professor
CSE011,Veer Mander,gmani@gmail.com,9421796806,"88/136, Parekh Circle
Jammu 830889",1994-06-19,Female,Professor
CSE012,Osha Palla,manan00@gmail.com,9148327566,"14/72, Tripathi Marg
Chennai-061988",1990-10-27,Male,Professor
CSE013,Dalaja Sama,ronithagarwal@gmail.com,9902266057,"05/180
Ravel Zila, Suryapet 593954",1985-01-30,Female,Professor
CSE014,Ethan Jhaveri,smahajan@gmail.com,7070737140,"35
Dey Zila
Kavali-423205",1978-10-17,Female,Assistant Professor
CSE015,Bachittar Gera,reddyekiya@gmail.com,9915327681,"H.No. 898, Prakash Marg
Avadi 847399",1988-11-14,Female,Professor
CSE016,Januja Puri,rachitmagar@gmail.com,9245157811,"78, Vyas Marg, Pimpri-Chinchwad 883304",1999-09-26,Female,Assistant Professor
CSE017,Jasmit Bobal,abha59@gmail.com,8693115661,"874
Brahmbhatt Marg
Vasai-Virar 523032",1985-06-21,Female,Assistant Professor
CSE018,Darika Bir,ramakrishnanryan@gmail.com,7124547435,"14/29, Gara Nagar
Bhubaneswar 905934",1984-11-30,Male,Professor
CSE019,Isha Soman,chandran98@gmail.com,9478666891,"H.No. 41
Soman Road
Kolkata-597741",1995-12-21,Male,Lecturer
