roll_no,name,Father_name,Mother_name,dob,gender,email,phone,address,school_name_10th,school_name_12th,marks_10th,marks_12th
22311001,Yashvi Chand,Yug Chand,Gaurika Kumar,2000-03-10,Female,nathvyanjana@gmail.com,8220081441,"40/060, Magar Chowk, Pudukkottai-529539","05, Kashyap Zila
Khammam 868839","H.No. 85
Sekhon Circle, Bulandshahr-699872",60,66
22311002,Hamsini Bahri,Dev Patla,Rajeshri Kant,2002-06-04,Male,warriorekani@gmail.com,1192766422,"20/21, Kakar, Vasai-Virar 317614","H.No. 825, Char, Howrah-225099","26/228, Kaul Zila, Bongaigaon-373926",76,80
22311003,Oliver Ratta,Ranbir Arya,Pushti Dugar,2001-07-02,Female,mason12@gmail.com,9279406302,"H.No. 641, Kari Circle, Dehri-272690","20, Dhar Street, Jorhat 001848","77, Brahmbhatt
Bidhannagar-096109",86,70
22311004,Barkha Bhasin,Sarthak Kapadia,Manya Sundaram,2003-01-29,Female,yashica17@gmail.com,2528064421,"H.No. 16, Wali Path
Malegaon-486191","99
Nigam
Kottayam 736633","56, Bhattacharyya Ganj, Nagercoil-251977",77,63
22311005,Ayaan Sarraf,Chatura Sharaf,Lajita Deo,2004-02-11,Male,borravasudha@gmail.com,9089930923,"72
Shankar Chowk
Suryapet 418333","30/15
Patla
Faridabad 683656","H.No. 466
Kant Chowk
Kalyan-Dombivli 029225",65,67
22311006,Maanav Chana,Rishi Saxena,Zaitra Palla,2004-04-06,Female,rayaanbaria@gmail.com,7198271804,"15/51
Goel Path, Tadepalligudem-190189","H.No. 11
Bali Zila, Jalna 527347","H.No. 776
Anand Zila, Nashik-232269",82,79
22311007,Ethan Tank,Gopal Sule,Diya Oommen,2005-02-15,Female,jkeer@gmail.com,6541654987,"51, Dutt Path, Bikaner 018902","295
Butala Nagar
Mathura-931803","H.No. 014, Dugal Ganj, Ramgarh 825304",70,70
22311008,Udarsh Puri,Onkar Khare,Prisha Lanka,2002-12-27,Male,vganguly@gmail.com,1781048601,"H.No. 58, Bava Path, Chinsurah 241346","148
D�Alia Circle, Patiala-614679","03/000, Narula Street
Barasat 019091",75,70
22311009,Nidra Suresh,Ayaan Dugar,Sanya Mannan,2005-06-18,Female,ria81@gmail.com,7670445306,"15/17, Kade Nagar, Nashik-954759","H.No. 450
Palla Ganj
Agra 400246","H.No. 47, Singhal Marg, Jammu-253836",89,84
22311010,Harini Sheth,Yuvraj Mangat,Inaya Sama,2002-11-20,Female,zdivan@gmail.com,9759903414,"44/43, Parikh Circle, Mahbubnagar-722972","H.No. 14, Parmar Ganj, Bokaro 710449","H.No. 75, Narula Ganj
Raiganj-174444",70,61
22311011,Chandran Sharma,Brijesh Bal,Ishita Bera,2003-10-15,Female,xpradhan@gmail.com,3033011510,"H.No. 381, Lalla Zila, Tiruvottiyur 889181","49/189
Viswanathan Chowk, Sikar-490258","91, Shroff Chowk
Bihar Sharif 316362",96,75
22311012,Gagan Raghavan,Lohit Gupta,Neha Devan,2002-03-31,Male,hiral80@gmail.com,8889873410,"H.No. 247
Krishna Chowk, Akola-498472","H.No. 487
Bose Nagar, Mumbai 570340","H.No. 438
Patla Marg, Jodhpur-522633",77,62
22311013,Zehaan Mital,Naksh Sarraf,Yadavi Kibe,2003-02-23,Female,tanay39@gmail.com,5587402608,"55/528
Chacko, Bhiwandi-636076","37/552, Brahmbhatt Road
Chittoor-582115","40/938, Nath Road, Korba-128315",61,87
22311014,Daksh Chaudhari,Sathvik Borah,Qushi Gera,2001-01-21,Female,dayamaikara@gmail.com,3529167254,"H.No. 805, Zacharia Path
Howrah-534206","50/79, Desai Ganj
Chennai 080166","53
Sinha Marg, Phusro-492491",73,74
22311015,Sneha Mannan,Theodore Balay,Lakshmi Parsa,2001-02-21,Male,janani80@gmail.com,7612113251,"78
Bhatnagar Circle
Bulandshahr 459966","98
Kadakia Marg, Dibrugarh 299702","34, Dhillon Road
Faridabad 073163",80,83
22311016,Janani Subramaniam,Oliver Bahl,Madhavi Naidu,2001-04-25,Male,bariaoni@gmail.com,7685310642,"97/74
Chowdhury Street
Burhanpur 415764","50/16, Som Circle
Guwahati-969169","10/68, Dubey, Morena 995838",74,77
22311017,Hitesh Bumb,Caleb Edwin,Garima Khatri,2003-10-28,Male,alexander78@gmail.com,9409713983,"H.No. 63
Sem Nagar, Hosur 644236","08, Pillai Nagar, Aurangabad 839704","H.No. 239, Behl Path, Jaunpur-165267",89,60
22311018,Aadi Chowdhury,Gunbir Kapur,Charvi Wagle,2002-04-09,Female,dnatarajan@gmail.com,3962764979,"780
Pillai Nagar
Jalna-360532","46/17
Palla Ganj, Shimla-171684","577
Dayal Road
Bardhaman-972227",83,83
22311019,Ishanvi Seshadri,Jeremiah Sharma,Alka Biswas,2003-11-01,Male,yhayer@gmail.com,7598594395,"H.No. 955
Kar Zila
Rourkela 365336","59, Rau, Ratlam 992752","H.No. 119, Keer Ganj
Loni 635138",71,83
22311020,Fiyaz Saraf,Arjun Khosla,Ekaja Acharya,2003-04-22,Female,samakshdara@gmail.com,8030897598,"25/92, Sahni Zila, New Delhi 665884","69/191
Din Path, Warangal-371015","51/248, Raval Street
Katni 616775",90,92
22311021,Shivani Kunda,Yash Saxena,Anika Dewan,2005-02-03,Male,naveenyadav@gmail.com,3764063894,"H.No. 90
Kashyap Path, Begusarai-525906","H.No. 099
Savant Chowk
Thoothukudi-394114","25/047, Nayak Marg, Bhimavaram-102143",67,69
22311022,Azaan Grewal,Kalpit Hegde,Dayamai Gaba,2004-08-31,Female,cnanda@gmail.com,6224486353,"74/950
Panchal Road
Lucknow 998176","07
Kade Street, Firozabad-194412","431
Rajagopal Street
Agra-914064",68,77
22311023,Xiti Bassi,Hredhaan Balasubramanian,Oeshi Dhaliwal,2001-02-25,Male,lmadan@gmail.com,3142550170,"71/36
Sani Circle, Anand-714524","957
Andra Circle
Mahbubnagar-385780","H.No. 75
Minhas Circle
Bathinda-691434",94,65
22311024,Manya Johal,Zashil Loke,Divya Dalal,1999-10-26,Female,ishanvi58@gmail.com,3133640577,"36, Choudhry Zila, Nashik-465103","150
Naidu Nagar
Ujjain 580293","H.No. 17, Sheth Chowk, Chapra 033336",84,65
22311025,Triya Pradhan,Aarush Nazareth,Chasmum Lanka,2003-05-20,Male,hdave@gmail.com,4331649581,"96/63
Singhal Road
Bhopal-601523","08/54
Kaul Marg
Hindupur-048049","82/996, Murthy Marg
Ajmer 386457",71,96
